cell_lat,cell_lon,count,g_score
4075,-7398,643543,19.65292634821145
4076,-7397,536007,16.607401297064627
4074,-7398,599072,15.504955964953883
4073,-7399,498408,14.179672057370134
4075,-7397,870226,14.056568503298653
4074,-7399,531896,13.88964615875398
4076,-7398,697221,12.374994501719565
4073,-7398,535378,11.688552229690721
4074,-7397,416534,11.365115061682163
4077,-7397,124453,10.825375658335744
4075,-7396,336711,10.621282532134147
4076,-7396,583538,10.364638124595432
4075,-7399,518012,10.15278030276632
4072,-7399,435659,9.531448316411714
4077,-7396,271742,9.318257914987852
4076,-7399,153851,8.97581473745193
4076,-7395,292413,8.062417037905965
4072,-7400,291748,7.847268712273056
4072,-7398,424114,7.777982017924769
4073,-7400,446398,7.759839579531433
4074,-7400,294881,7.547229855249419
4077,-7395,532480,7.335811263566064
4073,-7397,93115,7.164280724780325
4078,-7396,55846,7.099244884893506
4077,-7398,373515,6.713020139778098
4075,-7400,79125,5.851332484171446
4074,-7396,8850,5.324464757469295
4078,-7395,309958,4.954126743388511
4071,-7399,110684,4.926120238162524
4078,-7398,106679,4.819558538054931
4075,-7395,8733,4.459494042637587
4077,-7394,155910,4.363444087713166
4071,-7400,202001,4.2715333185690865
4071,-7398,64150,3.728079070430599
4077,-7399,18013,3.6009703329961256
4072,-7397,54231,3.5626828645279582
4078,-7394,94843,3.349686022151379
4076,-7394,2874,3.1217032427679126
4073,-7401,1944,3.111027716852425
4079,-7395,26932,3.1045360441897296
0,1,14,3.0096020132956496
-1,0,25,3.0096020132956496
4078,-7397,317498,2.921927972236456
4079,-7397,150146,2.778403938676704
4072,-7401,14667,2.7061319682530263
4079,-7396,99048,2.2468907948397794
4071,-7401,114146,2.1097393206828565
4070,-7400,101833,2.0341247344041906
0,-1,15,2.011696494649419
4074,-7401,1003,1.8870868596783923
